            PLAYER_NAME  TEAM_CITY    MIN   REB   AST   PTS
0         Nicolas Batum         LA  19:02   1.0   1.0   0.0
1         Kawhi Leonard         LA  38:50   8.0   7.0  31.0
2           Ivica Zubac         LA  29:29   6.0   0.0   8.0
3           Eric Gordon         LA  32:20   2.0   2.0  12.0
4     Russell Westbrook         LA  36:06   5.0   5.0  28.0
5          Terance Mann         LA  25:37   2.0   0.0  10.0
6         Norman Powell         LA  27:60   4.0   2.0  12.0
7         Mason Plumlee         LA  13:36   2.0   0.0   2.0
8          Bones Hyland         LA  14:06   2.0   0.0   6.0
9    Brandon Boston Jr.         LA   0:58   0.0   0.0   0.0
10          Amir Coffey         LA   0:58   0.0   0.0   0.0
11        Jason Preston         LA   0:58   0.0   0.0   0.0
12     Robert Covington         LA   None   NaN   NaN   NaN
13    Marcus Morris Sr.         LA   None   NaN   NaN   NaN
14         Torrey Craig    Phoenix  31:38   3.0   2.0  17.0
15         Kevin Durant    Phoenix  44:26   6.0   5.0  25.0
16        Deandre Ayton    Phoenix  31:36  13.0   0.0  14.0
17         Devin Booker    Phoenix  44:48   1.0   9.0  38.0
18           Chris Paul    Phoenix  37:39   4.0   8.0  16.0
19      Bismack Biyombo    Phoenix  14:33   5.0   2.0   6.0
20        Landry Shamet    Phoenix  13:60   0.0   2.0   0.0
21          Josh Okogie    Phoenix  15:18   3.0   2.0   7.0
22          T.J. Warren    Phoenix   2:09   0.0   0.0   0.0
23           Damion Lee    Phoenix   3:12   0.0   0.0   0.0
24        Ish Wainright    Phoenix   0:41   0.0   0.0   0.0
25        Darius Bazley    Phoenix   None   NaN   NaN   NaN
26         Jock Landale    Phoenix   None   NaN   NaN   NaN
27        Terrence Ross    Phoenix   None   NaN   NaN   NaN
0       De'Andre Hunter    Atlanta  38:21  12.0   3.0  18.0
1          John Collins    Atlanta  29:33   6.0   1.0   5.0
2          Clint Capela    Atlanta  21:57   7.0   0.0   4.0
3       Dejounte Murray    Atlanta  39:56   6.0   6.0  29.0
4            Trae Young    Atlanta  33:50   3.0   6.0  24.0
5     Bogdan Bogdanovic    Atlanta  33:01   2.0   4.0  18.0
6        Onyeka Okongwu    Atlanta  23:47   9.0   1.0   8.0
7            Saddiq Bey    Atlanta  14:50   1.0   0.0   0.0
8         Jalen Johnson    Atlanta   4:45   3.0   0.0   0.0
9        Bruno Fernando    Atlanta   None   NaN   NaN   NaN
10           AJ Griffin    Atlanta   None   NaN   NaN   NaN
11        Aaron Holiday    Atlanta   None   NaN   NaN   NaN
12           Vit Krejci    Atlanta   None   NaN   NaN   NaN
